shared name	FOLDCHANGE	PVALUE
AT1G03080 (INDUCED:PCHX) AT2G22200	0.7	3.3E-07
AT1G03080 (INDUCED:PCHX) AT2G22430	0.3	6.8E-03
AT1G03080 (INDUCED:PCHX) AT2G39250	0.4	6.0E-05
AT1G03080 (INDUCED:PCHX) AT3G17609	0.4	3.4E-03
AT1G03080 (INDUCED:PCHX) AT4G16141	0.3	7.8E-02
AT1G03080 (INDUCED:PCHX) AT4G39780	0.3	4.4E-02
AT1G03080 (REPRESSED:PCHX) AT5G10970	-0.4	4.3E-03
AT1G03080 (INDUCED:PCHX) AT5G49450	0.5	4.4E-04
AT1G03080 (INDUCED:PCHX) AT5G65210	0.4	3.7E-04
AT1G03090 (REPRESSED:PCHX) AT2G33550	-0.3	4.4E-02
AT1G03090 (REPRESSED:PCHX) AT5G07680	-0.4	1.7E-02
